timestamp,region,consumption,voltage,frequency
2026-04-18 07:38:25.079717,South,178.41,232.2,50.003
2026-04-18 07:39:25.079717,East,168.46,222.9,49.989
2026-04-18 07:40:25.079717,South,198.09,239.7,49.742
2026-04-18 07:41:25.079717,North,248.57,224.8,50.228
2026-04-18 07:42:25.079717,South,225.12,227.4,50.132
2026-04-18 07:43:25.079717,West,215.21,221.8,50.335
2026-04-18 07:44:25.079717,East,311.43,226.4,49.687
2026-04-18 07:45:25.079717,West,185.98,233.6,49.517
2026-04-18 07:46:25.079717,North,149.79,230.2,49.726
2026-04-18 07:47:25.079717,West,116.26,233.8,49.887
2026-04-18 07:48:25.079717,North,208.42,238.7,49.638
2026-04-18 07:49:25.079717,North,133.0,238.5,50.377
2026-04-18 07:50:25.079717,North,160.68,225.2,50.16
2026-04-18 07:51:25.079717,West,193.65,230.6,49.742
2026-04-18 07:52:25.079717,West,258.43,221.9,50.397
2026-04-18 07:53:25.079717,North,195.59,226.8,49.849
2026-04-18 07:54:25.079717,North,226.91,234.5,50.397
2026-04-18 07:55:25.079717,West,195.03,232.8,49.584
2026-04-18 07:56:25.079717,East,200.79,223.2,50.399
2026-04-18 07:57:25.079717,South,197.58,220.1,49.661
2026-04-18 07:58:25.079717,South,137.14,231.0,50.192
2026-04-18 07:59:25.079717,North,108.52,234.2,49.737
2026-04-18 08:00:25.079717,East,389.39,226.5,50.246
2026-04-18 08:01:25.079717,East,407.8,233.2,50.068
2026-04-18 08:02:25.079717,South,374.77,221.9,49.868
2026-04-18 08:03:25.079717,West,296.63,239.5,49.893
2026-04-18 08:04:25.079717,North,301.05,237.8,50.131
2026-04-18 08:05:25.079717,South,350.78,231.5,49.993
2026-04-18 08:06:25.079717,South,437.21,223.9,50.222
2026-04-18 08:07:25.079717,North,285.75,238.8,50.454
2026-04-18 08:08:25.079717,East,378.95,238.3,49.87
2026-04-18 08:09:25.079717,West,378.39,239.3,50.353
2026-04-18 08:10:25.079717,East,345.63,225.9,49.885
2026-04-18 08:11:25.079717,West,323.21,223.4,50.057
2026-04-18 08:12:25.079717,West,401.38,238.7,50.196
2026-04-18 08:13:25.079717,East,296.97,232.3,50.49
2026-04-18 08:14:25.079717,East,359.22,222.8,50.018
2026-04-18 08:15:25.079717,South,371.47,233.9,50.202
2026-04-18 08:16:25.079717,East,383.65,227.2,49.794
2026-04-18 08:17:25.079717,West,380.9,237.3,50.413
2026-04-18 08:18:25.079717,South,380.83,230.2,50.002
2026-04-18 08:19:25.079717,East,384.25,234.0,50.296
2026-04-18 08:20:25.079717,South,418.13,237.8,49.838
2026-04-18 08:21:25.079717,West,303.63,231.6,49.536
2026-04-18 08:22:25.079717,South,335.79,229.3,50.043
2026-04-18 08:23:25.079717,East,391.18,220.6,49.537
2026-04-18 08:24:25.079717,South,253.24,236.5,49.86
2026-04-18 08:25:25.079717,West,353.86,235.4,49.716
2026-04-18 08:26:25.079717,East,285.34,232.5,49.585
2026-04-18 08:27:25.079717,North,352.73,230.8,50.137
2026-04-18 08:28:25.079717,South,310.9,234.5,50.476
2026-04-18 08:29:25.079717,East,228.49,235.9,49.771
2026-04-18 08:30:25.079717,South,361.19,228.8,49.578
2026-04-18 08:31:25.079717,East,380.3,228.2,49.673
2026-04-18 08:32:25.079717,North,401.95,223.1,49.75
2026-04-18 08:33:25.079717,West,455.93,233.2,49.78
2026-04-18 08:34:25.079717,West,374.3,239.1,50.238
2026-04-18 08:35:25.079717,East,477.33,228.4,49.748
2026-04-18 08:36:25.079717,South,411.95,227.1,50.258
